255,45
255,45
255,45
261,45
265,45
268,44
270,44
272,44
278,44
285,44
290,44
297,45
303,48
307,51
311,54
313,57
314,59
315,66
314,72
309,78
305,82
301,85
296,89
292,93
289,95
286,96
283,100
283,100
283,100
287,101
310,101
313,100
315,100
315,99
316,98
316,98
316,98
318,98
323,97
332,97
356,94
362,93
370,92
371,91
371,91
372,95
372,101
372,105
371,108
370,113
370,117
370,121
370,126
370,132
371,141
371,146
371,149
371,149
371,149
371,151
371,151
372,152
372,152
376,152
381,152
383,150
388,150
392,150
397,150
400,150
403,150
406,150
412,152
416,154
417,155
418,157
418,159
418,163
418,167
418,170
418,172
417,174
415,177
414,179
412,179
411,180
410,181
409,181
407,181
404,183
400,184
399,186
398,186
396,187
395,188
392,191
391,193
390,194
388,196
385,198
384,199
384,199
390,197
393,196
398,196
402,196
409,196
418,196
426,197
434,198
441,199
446,200
451,201
454,202
459,207
461,211
462,213
462,217
462,219
461,221
460,223
459,225
458,227
458,228
456,228
454,229
454,230
453,230
452,231
450,231
449,231
449,231
449,231
449,231
449,232
449,232
449,232
450,232
453,232
455,233
456,235
458,237
462,241
465,246
466,251
466,253
466,257
463,265
457,270
449,274
437,278
427,280
418,281
413,281
405,281
396,282
386,284
381,284
375,284
369,284
362,283
354,282
351,281
351,280
355,275
361,268
366,262
369,260
374,256
381,250
383,248
386,246
389,243
391,243
395,243
398,243
402,245
404,249
404,252
404,256
404,258
404,261
404,265
404,268
404,270
404,274
403,277
402,284
402,291
401,301
401,310
401,313
400,319
400,324
399,327
396,329
388,329
381,329
377,328
372,328
369,328
365,328
360,328
352,328
346,328
339,328
332,329
328,330
325,330
321,337
319,346
319,348
319,350
320,352
320,355
320,356
329,356
336,356
339,356
344,356
347,356
351,357
356,359
359,360
360,362
362,364
362,366
363,368
363,371
363,372
362,373
360,375
357,376
352,379
346,382
339,385
334,386
327,387
319,387
312,387
306,389
298,389
293,389
284,392
278,393
272,396
259,403
257,408
252,416
252,418
248,426
242,436
242,440
244,445
251,451
259,454
271,455
275,455
280,455
285,455
289,455
295,452
298,448
299,445
299,443
298,438
297,435
295,432
292,428
289,426
286,425
281,423
276,423
271,423
266,423
260,423
256,424
252,424
250,424
244,426
237,428
231,428
224,428
218,428
217,428
217,423
218,418
220,415
221,413
223,409
224,406
226,402
228,397
231,392
232,387
233,381
234,377
234,373
234,370
235,366
236,361
237,356
237,355
237,353
236,351
234,350
227,350
220,352
214,352
210,352
203,352
195,351
188,350
181,350
175,351
167,352
163,352
161,352
157,352
152,354
149,355
149,359
149,363
149,366
149,368
146,372
134,376
127,377
122,377
114,378
108,376
104,372
99,364
99,359
101,350
103,344
108,341
114,338
119,336
124,336
137,331
143,327
148,321
149,315
147,308
143,302
130,300
115,300
109,304
106,307
106,312
106,318
107,321
109,324
113,326
119,331
123,331
130,331
141,330
145,327
150,323
154,318
155,313
156,306
158,298
158,292
158,288
158,285
158,283
158,279
158,276
157,269
157,261
157,251
156,246
153,241
148,235
143,233
137,232
126,232
116,232
109,233
107,234
105,236
104,238
103,241
102,244
102,247
102,250
103,254
106,257
109,261
119,264
127,266
136,266
139,266
142,265
147,264
152,262
154,258
154,251
153,244
150,240
146,236
139,232
133,230
127,225
123,224
119,222
117,221
116,219
112,216
108,212
107,211
101,213
96,215
92,215
82,210
77,203
74,194
73,186
73,178
76,171
79,165
83,162
87,159
91,159
98,159
105,161
110,165
113,172
114,178
114,186
114,190
114,194
114,198
114,201
112,203
108,205
103,203
100,198
98,194
97,191
94,188
92,186
91,184
89,181
86,179
81,176
76,173
74,172
66,173
62,173
58,173
54,173
52,173
51,172
51,170
51,163
51,158
50,153
50,149
50,139
50,133
50,128
52,125
57,121
60,121
65,121
69,121
79,119
89,118
99,116
102,116
106,116
116,114
129,109
135,106
138,105
142,102
147,99
152,96
153,95
154,106
154,113
153,123
152,130
150,138
150,147
152,154
153,160
154,162
155,165
158,165
166,164
169,163
173,161
178,161
183,161
189,159
193,156
197,153
199,147
199,142
198,136
198,130
198,126
198,121
198,114
199,107
200,104
201,100
201,99
201,99
201,99
204,98
206,98
213,98
222,98
229,98
232,98
235,98
237,97
239,96
239,96
242,94
242,91
241,87
240,84
240,82
239,78
239,72
239,69
239,65
239,61
239,58
239,56
239,53
240,49
240,49
241,47
243,46
243,46
243,46
244,45
246,45
249,45
249,45
250,45
251,45
